,episodes,reward
1279,255,25.0
1280,256,18.0
1281,256,17.0
1282,256,17.0
1283,256,14.0
1284,256,12.0
1285,257,22.0
1286,257,9.0
1287,257,20.0
1288,257,22.0
1289,257,23.0
1290,258,10.0
1291,258,7.0
1292,258,21.0
1293,258,10.0
1294,258,41.0
1295,259,9.0
1296,259,21.0
1297,259,14.0
1298,259,16.0
1299,259,28.0
1300,260,10.0
1301,260,6.0
1302,260,8.0
1303,260,24.0
1304,260,36.0
1305,261,37.0
1306,261,8.0
1307,261,10.0
1308,261,14.0
1309,261,22.0
1310,262,12.0
1311,262,5.0
1312,262,28.0
1313,262,41.0
1314,262,24.0
1315,263,18.0
1316,263,18.0
1317,263,15.0
1318,263,27.0
1319,263,21.0
1320,264,22.0
1321,264,9.0
1322,264,15.0
1323,264,12.0
1324,264,58.0
1325,265,18.0
1326,265,14.0
1327,265,15.0
1328,265,7.0
1329,265,51.0
1330,266,19.0
1331,266,29.0
1332,266,8.0
1333,266,11.0
1334,266,23.0
1335,267,21.0
1336,267,20.0
1337,267,20.0
1338,267,18.0
1339,267,29.0
1340,268,13.0
1341,268,7.0
1342,268,13.0
1343,268,37.0
1344,268,40.0
1345,269,13.0
1346,269,12.0
1347,269,17.0
1348,269,46.0
1349,269,21.0
1350,270,26.0
1351,270,8.0
1352,270,30.0
1353,270,30.0
1354,270,57.0
1355,271,17.0
1356,271,41.0
1357,271,12.0
1358,271,10.0
1359,271,32.0
1360,272,24.0
1361,272,17.0
1362,272,8.0
1363,272,31.0
1364,272,25.0
1365,273,38.0
1366,273,23.0
1367,273,6.0
1368,273,14.0
1369,273,28.0
1370,274,10.0
1371,274,7.0
1372,274,20.0
1373,274,16.0
1374,274,15.0
1375,275,31.0
1376,275,7.0
1377,275,6.0
1378,275,15.0
1379,275,13.0
1380,276,19.0
1381,276,8.0
1382,276,15.0
1383,276,35.0
1384,276,22.0
1385,277,46.0
1386,277,25.0
1387,277,10.0
1388,277,12.0
1389,277,12.0
1390,278,49.0
1391,278,24.0
1392,278,21.0
1393,278,12.0
1394,278,64.0
1395,279,18.0
1396,279,17.0
1397,279,11.0
1398,279,12.0
1399,279,18.0
1400,280,16.0
1401,280,13.0
1402,280,17.0
1403,280,13.0
1404,280,11.0
1405,281,21.0
1406,281,12.0
1407,281,7.0
1408,281,7.0
1409,281,10.0
1410,282,15.0
1411,282,10.0
1412,282,10.0
1413,282,16.0
1414,282,18.0
1415,283,22.0
1416,283,13.0
1417,283,12.0
1418,283,8.0
1419,283,21.0
1420,284,22.0
1421,284,18.0
1422,284,20.0
1423,284,41.0
1424,284,26.0
1425,285,32.0
1426,285,15.0
1427,285,24.0
1428,285,28.0
1429,285,12.0
1430,286,34.0
1431,286,16.0
1432,286,17.0
1433,286,16.0
1434,286,19.0
1435,287,15.0
1436,287,7.0
1437,287,14.0
1438,287,24.0
1439,287,32.0
1440,288,7.0
1441,288,19.0
1442,288,10.0
1443,288,56.0
1444,288,13.0
1445,289,15.0
1446,289,7.0
1447,289,16.0
1448,289,11.0
1449,289,21.0
1450,290,22.0
1451,290,15.0
1452,290,16.0
1453,290,18.0
1454,290,6.0
1455,291,15.0
1456,291,40.0
1457,291,8.0
1458,291,39.0
1459,291,33.0
1460,292,36.0
1461,292,5.0
1462,292,21.0
1463,292,39.0
1464,292,10.0
1465,293,18.0
1466,293,10.0
1467,293,20.0
1468,293,17.0
1469,293,15.0
